"","taxonID","acceptedTaxonID","family.x","genus.x","species","pathway","scientificName.y","commonName","reference","nativeStatusCode"
"158","ALGEA","ALAEA","","Alopecurus","geniculatus","unknown","Alopecurus geniculatus L. var. aristulatus (Michx.) Torr."," ","","N"
"159","ALAR","ALAR","Poaceae","Alopecurus","arundinaceus","unknown","Alopecurus arundinaceus Poir.","creeping meadow foxtail","","I"
"160","ALVE","ALAR","","Alopecurus","ventricosus","unknown","Alopecurus ventricosus Pers., non (Gouan) Huds."," ","","I"
"161","ALCA4","ALCA4","Poaceae","Alopecurus","carolinianus","unknown","Alopecurus carolinianus Walt.","Carolina foxtail","","N"
"162","ALMA15","ALCA4","","Alopecurus","macounii","unknown","Alopecurus macounii Vasey"," ","","N"
"163","ALRA4","ALCA4","","Alopecurus","ramosus","unknown","Alopecurus ramosus Poir."," ","","N"
"164","ALGE2","ALGE2","Poaceae","Alopecurus","geniculatus","unknown","Alopecurus geniculatus L.","water foxtail","","I"
"165","ALPA9","ALGEG4","","Alopecurus","pallescens","unknown","Alopecurus pallescens Piper"," ","","I"
"166","ALLOL","ALLOL","Poaceae","Allolepis","Söderstrom","","Allolepis Söderstrom & Decker","Texas salt","","N"
"167","ALAG","ALMY","","Alopecurus","agrestis","unknown","Alopecurus agrestis L."," ","","I"
"168","ALMY","ALMY","Poaceae","Alopecurus","myosuroides","C3","Alopecurus myosuroides Huds.","slender meadow foxtail","563","I"
"169","ALOPE","ALOPE","Poaceae","Alopecurus","L.","","Alopecurus L.","foxtail","","UNK"
"170","ALPR3","ALPR3","Poaceae","Alopecurus","pratensis","C3","Alopecurus pratensis L.","meadow foxtail","7,120,156,426","I"
"171","DITE8","ALTE3","","Distichlis","texana","unknown","Distichlis texana (Vasey) Scribn."," ","","N"
"172","ALTE3","ALTE3","Poaceae","Allolepis","texana","C4","Allolepis texana (Vasey) Söderstrom & Decker","Texas salt","17,199","N"
"173","ANODP","ANAR7","","Anthoxanthum","odoratum","unknown","Anthoxanthum odoratum L. var. puelii (Lecoq & Lamotte) Coss. & Durieu"," ","","I"
"174","ANPU3","ANAR7","","Anthoxanthum","puelii","unknown","Anthoxanthum puelii Lecoq & Lamotte"," ","","I"
"175","ANAR7","ANAR7","Poaceae","Anthoxanthum","aristatum","unknown","Anthoxanthum aristatum Boiss.","annual vernalgrass","","I"
"176","ANCA4","ANCA4","Poaceae","Andropogon","capillipes","unknown","Andropogon capillipes Nash","chalky bluestem","","N"
"177","ANVIG2","ANCA4","","Andropogon","virginicus","unknown","Andropogon virginicus L. var. glaucus Hack."," ","","N"
"178","ANDRO2","ANDRO2","Poaceae","Andropogon","L.","","Andropogon L.","bluestem","","N"
"179","ANPR3","ANGE","","Andropogon","provincialis","unknown","Andropogon provincialis Lam."," ","","N"
"180","ANGE","ANGE","Poaceae","Andropogon","gerardii","C4","Andropogon gerardii Vitman","big bluestem","7,17,48,52,59,64,100,106,120,135,151,168,183,184,199,250,281,378,386,407,408,410,425,616","N"
"181","ANCH8","ANGE","","Andropogon","chrysocomus","unknown","Andropogon chrysocomus Nash"," ","","N"
"182","ANFU5","ANGE","","Andropogon","furcatus","unknown","Andropogon furcatus Muhl. ex Willd."," ","","N"
"183","ANGEC","ANGE","","Andropogon","gerardii","unknown","Andropogon gerardii Vitman var. chrysocomus (Nash) Fern."," ","","N"
"184","ANVIG","ANGL10","","Andropogon","virginicus","unknown","Andropogon virginicus L. var. glaucopsis (Ell.) A.S. Hitchc."," ","","N"
"185","ANGL10","ANGL10","Poaceae","Andropogon","glaucopsis","unknown","Andropogon glaucopsis Ell.","purple bluestem","","N"
"186","ANGLG","ANGL10","","Andropogon","glomeratus","unknown","Andropogon glomeratus (Walt.) B.S.P. var. glaucopsis (Ell.) C. Mohr"," ","","N"
"187","ANGL2","ANGL2","Poaceae","Andropogon","glomeratus","C4","Andropogon glomeratus (Walt.) B.S.P.","bushy bluestem","1,7,32,65,90,100,121,245,340,377,410,546","N"
"188","ANGLH","ANGLH","Poaceae","Andropogon","glomeratus","unknown","Andropogon glomeratus (Walt.) B.S.P. var. hirsutior (Hack.) C. Mohr","bushy bluestem","","N"
"189","ANVIH","ANGLH","","Andropogon","virginicus","unknown","Andropogon virginicus L. var. hirsutior (Hack.) A.S. Hitchc."," ","","N"
"190","ANGLP","ANGLP","Poaceae","Andropogon","glomeratus","unknown","Andropogon glomeratus (Walt.) B.S.P. var. pumilus Vasey ex L.H. Dewey","bushy bluestem","","N"
"191","ANTE14","ANGLP","","Andropogon","tenuispatheus","unknown","Andropogon tenuispatheus (Nash) Nash"," ","","N"
"192","ANGLS","ANGLS","Poaceae","Andropogon","glomeratus","unknown","Andropogon glomeratus (Walt.) B.S.P. var. scabriglumis C. Campbell","roughglume bushy bluestem","","N"
"193","ANGY2","ANGY2","Poaceae","Andropogon","gyrans","unknown","Andropogon gyrans Ashe","Elliott's bluestem","","N"
"194","ANEL","ANGYG","","Andropogon","elliottii","unknown","Andropogon elliottii Chapman"," ","","N"
"195","ANELG","ANGYG","","Andropogon","elliottii","unknown","Andropogon elliottii Chapman var. gracilior Hack."," ","","N"
"196","ANSU","ANGYG","","Andropogon","subtenuis","unknown","Andropogon subtenuis Nash"," ","","N"
"197","ANCA3","ANGYG","","Andropogon","campyloracheus","unknown","Andropogon campyloracheus Nash"," ","","N"
"198","ANELP","ANGYG","","Andropogon","elliottii","unknown","Andropogon elliottii Chapman var. projectus Fern. & Grisc."," ","","N"
"199","ANGYG","ANGYG","Poaceae","Andropogon","gyrans","unknown","Andropogon gyrans Ashe var. gyrans","Elliott's bluestem","","N"
"200","ANGYS","ANGYS","Poaceae","Andropogon","gyrans","unknown","Andropogon gyrans Ashe var. stenophyllus (Hack.) C. Campbell","Elliott's bluestem","","N"
"201","ANVIS2","ANGYS","","Andropogon","virginicus","unknown","Andropogon virginicus L. var. stenophyllus (Hack.) Fern. & Grisc."," ","","N"
"202","ANPE","ANGYS","","Andropogon","perangustatus","unknown","Andropogon perangustatus Nash"," ","","N"
"203","ANPA8","ANHA","","Andropogon","paucipilus","unknown","Andropogon paucipilus Nash"," ","","N"
